date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:10	14935/14935	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:10%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_levely.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_levely.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:10	16392/16392	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:10%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_ucitele.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_ucitele.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:10	21612/21612	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:11%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_alchymie.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_alchymie.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:10	17322/17322	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:11%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_obchodovani.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_obchodovani.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:11	12436/12436	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:11%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_gildy.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_gildy.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:11	14915/14915	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:11%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_npc.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_npc.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:11	32908/32908	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:12%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_npclokace.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_npclokace.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:11	16821/16821	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:12%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_bestiar.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_bestiar.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:12	58362/58362	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:12%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_zbrane.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_zbrane.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:12	37048/37048	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:12%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_zbroje.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_zbroje.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
